block_id,outline_id,role,status,support_type,confidence
B0048,V02-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0049,V02-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0050,V03-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0051,V03-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0052,V03-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0053,V03-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0054,V03-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0055,V03-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0056,V03-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0057,V03-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0058,V03-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0059,V03-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0060,V03-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0061,V03-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0062,V03-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0063,V03-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0064,V03-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0065,V03-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0066,V03-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0067,V03-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0068,V03-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0069,V03-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0070,V03-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0071,V03-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0072,V03-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0073,V03-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0074,V03-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0075,V03-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0076,V03-P01-C05-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0077,V03-P01-C05-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0078,V03-P01-C05-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0079,V03-P01-C05-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0080,V04-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0081,V04-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0082,V04-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0083,V04-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0084,V04-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0085,V04-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0086,V04-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0087,V04-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0088,V04-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0089,V04-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0090,V04-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0091,V04-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0092,V04-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0093,V04-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0094,V04-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0095,V04-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0096,V04-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0097,V04-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0098,V04-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0099,V04-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0100,V04-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0101,V04-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0102,V04-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0103,V04-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0104,V04-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0105,V04-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0106,V04-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0107,V04-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0108,V04-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0109,V04-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0110,V05-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0111,V05-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0112,V05-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0113,V05-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0114,V05-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0115,V05-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0116,V05-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0117,V05-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0118,V05-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0119,V05-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0120,V05-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0121,V05-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0122,V05-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0123,V05-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0124,V05-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0125,V05-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0126,V05-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0127,V05-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0128,V05-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0129,V05-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0130,V06-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0131,V06-P01-C01-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0132,V06-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0133,V06-P01-C01-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0134,V06-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0135,V06-P01-C02-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0136,V06-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0137,V06-P01-C02-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0138,V06-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0139,V06-P01-C03-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0140,V06-P01-C03-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0141,V06-P01-C04-S01,PRIMARY,ASSIGNED,DIRECT,MEDIUM
B0142,V06-P01-C04-S02,PRIMARY,ASSIGNED,DIRECT,MEDIUM
